Pathway Title,ID,Organism,Last Edited,Communities,Pathway Terms,Disease Terms,Cell Types
ADHD and autism (ASD) linked metabolic pathways and SNP,WP5420,Homo sapiens,22 Nov 2023,,"methionine cycle/metabolic pathway, tetrahydrobiopterin metabolic pathway, neurotransmitter metabolic pathway, folate mediated one-carbon metabolic pathway, epinephrine signaling pathway, endocannabinoid signaling pathway, endocannabinoid metabolic pathway, folate metabolic pathway, kynurenine metabolic pathway, regulatory pathway, classic metabolic pathway, signaling pathway","attention deficit hyperactivity disorder, autism spectrum disorder, anxiety disorder, generalized anxiety disorder, disease of mental health",
AGE/RAGE pathway,WP2324,Homo sapiens,25 Apr 2023,,"receptor for advanced glycation end-products signaling pathway, signaling pathway",,
AGE/RAGE pathway,WP3124,Bos taurus,06 Oct 2016,,"receptor for advanced glycation end-products signaling pathway, signaling pathway",,
ALA oxylipin metabolism,WP5136,Homo sapiens,01 Jun 2023,,"classic metabolic pathway, lipid metabolic pathway",,
AMP-activated protein kinase signaling,WP1403,Homo sapiens,20 Apr 2023,,"signaling pathway, adenosine monophosphate-activated protein kinase (AMPK) signaling pathway, ATP biosynthetic pathway, regulatory pathway, classic metabolic pathway",,
AMPK signaling,WP3154,Bos taurus,21 May 2021,,"ATP biosynthetic pathway, adenosine monophosphate-activated protein kinase (AMPK) signaling pathway, classic metabolic pathway, regulatory pathway",,
ATM signaling in development and disease,WP3878,Homo sapiens,22 May 2021,"CPTAC, PancCanNet","G1 phase pathway, DNA repair pathway, regulatory pathway",,
ATM signaling pathway,WP2516,Homo sapiens,14 May 2021,CPTAC,"aging pathway, altered apoptotic cell death pathway, ataxia telangiectasia-mutated (ATM) signaling pathway, altered DNA repair pathway, regulatory pathway, signaling pathway",,
ATM signaling pathway,WP3221,Bos taurus,21 May 2021,,"altered apoptotic cell death pathway, aging pathway, altered DNA repair pathway, ataxia telangiectasia-mutated (ATM) signaling pathway, regulatory pathway, signaling pathway",,
ATM signaling pathway,WP654,Rattus norvegicus,01 Feb 2023,,"ataxia telangiectasia-mutated (ATM) signaling pathway, p53-dependent G1/S DNA damage checkpoint pathway, signaling pathway, regulatory pathway",,
ATR signaling,WP3875,Homo sapiens,22 May 2021,CPTAC,"DNA replication pathway, DNA damage response pathway, regulatory pathway",,
Abnormal calcium handling and its effects on muscle contraction in DMD,WP5343,Homo sapiens,01 May 2023,"Diseases, RareDiseases","altered calcium/calcium-mediated signaling pathway, disease pathway, muscular disease pathway, regulatory pathway","Duchenne muscular dystrophy, atrophic muscular disease, muscular disease, genetic disease",
Abscisic acid biosynthesis,WP626,Arabidopsis thaliana,18 Apr 2023,,"abscisic acid biosynthetic pathway, classic metabolic pathway",,
Acetaminophen synthesis,WP2886,Escherichia coli,16 Aug 2019,,"paracetamol drug pathway, classic metabolic pathway, drug pathway",,
Acetate mediated promotion of metabolic syndrome,WP3650,Rattus norvegicus,28 May 2020,,disease pathway,"acquired metabolic disease, disease of metabolism","B cell, parasympathetic neuron, native cell, animal cell"
Acetogenesis,WP5019,Acetobacterium woodii,20 Jan 2022,,"classic metabolic pathway, carbon fixation pathway",,
Acetylcholine synthesis,WP1034,Bos taurus,21 May 2021,,"acetylcholine metabolic pathway, classic metabolic pathway",,
Acetylcholine synthesis,WP175,Mus musculus,14 May 2021,,"acetylcholine metabolic pathway, classic metabolic pathway",,
Acetylcholine synthesis,WP264,Caenorhabditis elegans,23 May 2021,WormBase_Approved,"acetylcholine metabolic pathway, classic metabolic pathway",,
Acetylcholine synthesis,WP360,Rattus norvegicus,16 May 2021,,"acetylcholine metabolic pathway, classic metabolic pathway",,
Acetylcholine synthesis,WP476,Danio rerio,14 May 2021,,"acetylcholine metabolic pathway, classic metabolic pathway",,
Acetylcholine synthesis,WP528,Homo sapiens,11 Dec 2021,,"acetylcholine metabolic pathway, classic metabolic pathway",,
Acquired partial lipodystrophy / Barraquer-Simons syndrome,WP5104,Homo sapiens,30 Nov 2021,RareDiseases,disease pathway,lipodystrophy,
Acrylamide biotransformation and exposure biomarkers,WP4233,Homo sapiens,22 May 2021,,"classic metabolic pathway, glutathione conjugates processing - the mercapturic acid pathway, phase I biotransformation pathway via cytochrome P450, regulatory pathway",,"kidney cell, hepatocyte, animal cell, native cell"
Actin cytoskeleton regulation,WP1062,Bos taurus,01 Feb 2022,,"regulatory pathway, cell adhesion signaling pathway, signaling pathway",,
Activation of NLRP3 inflammasome by SARS-CoV-2,WP4876,Homo sapiens,17 Dec 2021,COVID19,"interleukin-1 signaling pathway, regulatory pathway","severe acute respiratory syndrome, COVID-19, viral infectious disease, disease by infectious agent",
Acute myeloid leukemia,WP5293,Homo sapiens,14 Oct 2023,,"bone cancer pathway, acute myeloid leukemia pathway, disease pathway","bone marrow cancer, disease of cellular proliferation","myeloid cell, animal cell"
Acute viral myocarditis,WP4298,Homo sapiens,26 Feb 2022,"Diseases, RareDiseases","myocarditis pathway, disease pathway, cardiomyopathy pathway","viral infectious disease, myocarditis, disease by infectious agent, cardiovascular system disease","cardiac muscle cell, native cell"
Adipogenesis,WP1105,Canis familiaris,15 Jul 2016,,"signaling pathway pertinent to development, signaling pathway",,
Adipogenesis,WP1331,Danio rerio,16 Nov 2018,,"signaling pathway pertinent to development, signaling pathway",,
Adipogenesis,WP155,Rattus norvegicus,15 Jul 2016,,"signaling pathway pertinent to development, signaling pathway",,
Adipogenesis,WP236,Homo sapiens,16 Aug 2019,,"signaling pathway pertinent to development, signaling pathway",,"preadipocyte, animal cell"
Adipogenesis,WP869,Pan troglodytes,15 Jul 2016,,"signaling pathway pertinent to development, signaling pathway",,
Adipogenesis,WP987,Bos taurus,30 Jun 2015,,"signaling pathway pertinent to development, signaling pathway",,
Adipogenesis genes,WP447,Mus musculus,21 Apr 2023,,"signaling pathway pertinent to development, signaling pathway",,
Aerobic glycerol catabolism,WP224,Saccharomyces cerevisiae,20 May 2021,,classic metabolic pathway,,
Aerobic glycolysis,WP4629,Homo sapiens,20 Jul 2023,,"glycolysis/gluconeogenesis pathway, gluconeogenesis pathway, classic metabolic pathway, regulatory pathway",,
Aflatoxin B1 metabolism,WP1217,Equus caballus,16 Aug 2019,,"aflatoxin metabolic pathway, classic metabolic pathway",,
Aflatoxin B1 metabolism,WP1262,Mus musculus,17 Sep 2019,,"aflatoxin metabolic pathway, classic metabolic pathway",,
Aflatoxin B1 metabolism,WP1300,Rattus norvegicus,17 Sep 2019,,"aflatoxin metabolic pathway, classic metabolic pathway",,
Aflatoxin B1 metabolism,WP3247,Bos taurus,16 Aug 2019,,"aflatoxin metabolic pathway, cellular detoxification pathway, classic metabolic pathway, regulatory pathway",,
Aflatoxin B1 metabolism,WP699,Homo sapiens,18 Jan 2023,,"xenobiotic metabolic pathway, cellular detoxification pathway, aflatoxin metabolic pathway, classic metabolic pathway, regulatory pathway","cancer, disease of cellular proliferation",
Aflatoxin B1 metabolism,WP925,Pan troglodytes,17 Sep 2019,,"aflatoxin metabolic pathway, classic metabolic pathway",,
Aging,WP2313,Caenorhabditis elegans,17 Sep 2019,WormBase_Approved,"insulin signaling pathway, aging pathway, regulatory pathway",,
Airway smooth muscle cell contraction,WP4962,Homo sapiens,17 Dec 2021,,signaling pathway,allergic asthma,"bronchial smooth muscle cell, native cell"
Alanine and aspartate metabolism,WP106,Homo sapiens,09 Jul 2023,,"amino acid metabolic pathway, alanine, aspartate and glutamate metabolic pathway, classic metabolic pathway",,
Alanine and aspartate metabolism,WP240,Mus musculus,18 Feb 2021,,"alanine, aspartate and glutamate metabolic pathway, classic metabolic pathway",,
Alanine and aspartate metabolism,WP3262,Bos taurus,17 Sep 2019,,"amino acid metabolic pathway, alanine, aspartate and glutamate metabolic pathway, classic metabolic pathway",,
Allantoin degradation,WP328,Saccharomyces cerevisiae,20 May 2021,,"nitrogen metabolic pathway, classic metabolic pathway",,
Allograft rejection,WP2328,Homo sapiens,11 Jan 2022,,"allograft rejection pathway, disease pathway, adaptive immune response pathway, regulatory pathway",,
Alpha 6 beta 4 integrin signaling pathway,WP488,Mus musculus,23 May 2021,,"integrin mediated signaling pathway, signaling pathway",,
Alpha 6 beta 4 signaling pathway,WP244,Homo sapiens,24 Apr 2023,,"integrin mediated signaling pathway, signaling pathway",,
Alpha 6 beta 4 signaling pathway,WP985,Bos taurus,23 May 2021,,"integrin mediated signaling pathway, signaling pathway",,
Alstrom syndrome,WP5202,Homo sapiens,10 Dec 2022,RareDiseases,disease pathway,"Alstrom syndrome, genetic disease",
Altered glycosylation of MUC1 in tumor microenvironment,WP4480,Homo sapiens,26 Feb 2022,"CPTAC, PancCanNet",,,
Alternative pathway of fetal androgen synthesis,WP4524,Homo sapiens,23 Jun 2021,"IEM, RareDiseases","testosterone biosynthetic pathway, altered steroid biosynthetic pathway, steroid hormone metabolic pathway, steroid metabolic pathway, altered isoprenoid biosynthetic pathway, cholesterol metabolic pathway, steroid hormone biosynthetic pathway, disease pathway, classic metabolic pathway","steroid inherited metabolic disorder, genetic disease",
Alzheimer's disease,WP2075,Mus musculus,07 May 2021,,"disease pathway, Alzheimer's disease pathway","Alzheimer's disease, central nervous system disease",
Alzheimer's disease,WP5124,Homo sapiens,29 Jun 2021,RareDiseases,"Alzheimer's disease pathway, disease pathway","Alzheimer's disease, central nervous system disease",
Alzheimer's disease and miRNA effects,WP2059,Homo sapiens,29 Jun 2021,"Diseases, ExRNA, RareDiseases","disease pathway, Alzheimer's disease pathway","Alzheimer's disease, central nervous system disease",
Amino acid conjugation,WP715,Homo sapiens,17 Sep 2019,,"amino acid metabolic pathway, classic metabolic pathway",,
Amino acid conjugation of benzoic acid,WP1008,Bos taurus,16 Aug 2019,,"amino acid metabolic pathway, classic metabolic pathway",,
Amino acid conjugation of benzoic acid,WP1252,Mus musculus,17 Sep 2019,,"amino acid metabolic pathway, classic metabolic pathway",,
Amino acid conjugation of benzoic acid,WP1287,Rattus norvegicus,17 Sep 2019,,"amino acid metabolic pathway, classic metabolic pathway",,
Amino acid conjugation of benzoic acid,WP1577,Sus scrofa,02 Mar 2023,,"amino acid metabolic pathway, classic metabolic pathway",,
Amino acid conjugation of benzoic acid,WP521,Homo sapiens,02 Jul 2020,,"xenobiotic metabolic pathway, glycine metabolic pathway, classic metabolic pathway",,
Amino acid metabolism,WP3925,Homo sapiens,16 May 2021,,"amino acid metabolic pathway, classic metabolic pathway",,
Amino acid metabolism,WP662,Mus musculus,14 May 2021,,"amino acid metabolic pathway, classic metabolic pathway",,
Amino acid metabolism in triple-negative breast cancer cells,WP5213,Homo sapiens,06 Jun 2023,CPTAC,"glutamine metabolic pathway, glycine metabolic pathway, serine metabolic pathway, classic metabolic pathway","triple-receptor negative breast cancer, disease of cellular proliferation",
Amino acid metabolism pathway excerpt: histidine catabolism extension,WP4661,Homo sapiens,22 May 2021,,"histidine degradation pathway, classic metabolic pathway",,
Amino acid transport defects (IEMs),WP5029,Homo sapiens,16 Feb 2023,"Diseases, IEM, RareDiseases","cystinuria pathway, iminoglycinuria pathway, Hartnup disease pathway, inborn error amino acid transport disorder pathway, lysinuric protein intolerance pathway, disease pathway","Hartnup disease, dicarboxylic aminoaciduria, lysinuric protein intolerance, cystinuria, genetic disease",
Amplification and expansion of oncogenic pathways as metastatic traits,WP3678,Homo sapiens,22 May 2021,,"cancer pathway, disease pathway","von Hippel-Lindau disease, cancer, cardiovascular system disease, disease of cellular proliferation",
Amyotrophic lateral sclerosis (ALS),WP2447,Homo sapiens,24 Nov 2020,RareDiseases,disease pathway,"amyotrophic lateral sclerosis, central nervous system disease",
Amyotrophic lateral sclerosis (ALS),WP3243,Bos taurus,09 Mar 2021,,disease pathway,,
Anaerobic respiration,WP575,Saccharomyces cerevisiae,22 Aug 2016,,classic metabolic pathway,,
Androgen receptor network in prostate cancer,WP2263,Homo sapiens,27 Feb 2023,"CPTAC, Diseases","prostate cancer pathway, cancer pathway, disease pathway","prostate cancer, disease of cellular proliferation",
Androgen receptor signaling pathway,WP1014,Bos taurus,22 Mar 2021,,"androgen signaling pathway, regulatory pathway",,
Androgen receptor signaling pathway,WP1133,Canis familiaris,20 Mar 2021,,"androgen signaling pathway, regulatory pathway",,
Androgen receptor signaling pathway,WP138,Homo sapiens,22 Apr 2023,,"androgen signaling pathway, regulatory pathway",,
Androgen receptor signaling pathway,WP897,Pan troglodytes,19 Mar 2021,,"androgen signaling pathway, regulatory pathway",,
Angiogenesis,WP1539,Homo sapiens,27 May 2021,"CPTAC, PancCanNet","signaling pathway pertinent to development, regulatory pathway, signaling pathway",,
Angiogenesis,WP3184,Bos taurus,30 Jun 2015,,"signaling pathway pertinent to development, signaling pathway",,
Angiopoietin-like protein 8 regulatory pathway,WP3915,Homo sapiens,22 Dec 2021,,"insulin signaling pathway, regulatory pathway",,
Angiotensin II receptor type 1 pathway,WP5036,Homo sapiens,21 Mar 2023,,"signaling pathway, angiotensin II signaling pathway, regulatory pathway",,
Angiotensin II signaling (acute) in thick ascending limbs,WP3887,Rattus norvegicus,17 Sep 2019,Renal_Genomics,"angiotensin signaling pathway, renin-angiotensin cascade pathway, signaling pathway, regulatory pathway","renal hypertension, cardiovascular system disease","kidney loop of Henle thick ascending limb epithelial cell, animal cell"
Antiviral and anti-inflammatory effects of Nrf2 on SARS-CoV-2 pathway,WP5113,Homo sapiens,02 Jul 2021,COVID19,"nuclear factor, erythroid 2 like 2 signaling pathway, regulatory pathway","COVID-19, disease by infectious agent",
ApoE and miR-146 in inflammation and atherosclerosis,WP3592,Mus musculus,01 Sep 2017,,disease pathway,,
ApoE and miR-146 in inflammation and atherosclerosis,WP3926,Homo sapiens,20 Aug 2019,"Diseases, ExRNA",disease pathway,"atherosclerosis, cardiovascular system disease",
Apoptosis,WP1018,Bos taurus,19 Jan 2018,,regulatory pathway,,
Apoptosis,WP1254,Mus musculus,19 Jan 2018,,regulatory pathway,,
Apoptosis,WP1290,Rattus norvegicus,19 Jan 2018,,regulatory pathway,,
Apoptosis,WP1351,Danio rerio,19 Jan 2018,,regulatory pathway,,
Apoptosis,WP254,Homo sapiens,27 May 2021,"CPTAC, PancCanNet","regulatory pathway, cell death pathway, apoptotic cell death pathway",,
Apoptosis,WP787,Gallus gallus,19 Jan 2018,,regulatory pathway,,
Apoptosis modulation and signaling,WP1772,Homo sapiens,28 Apr 2023,,"apoptotic cell death pathway, regulatory pathway, signaling pathway",,
Apoptosis modulation and signaling,WP3148,Bos taurus,21 May 2021,,"apoptotic cell death pathway, regulatory pathway",,
Apoptosis modulation by HSP70,WP1082,Bos taurus,16 May 2021,,"apoptotic cell death pathway, regulatory pathway",,
Apoptosis modulation by HSP70,WP166,Mus musculus,23 May 2021,,"apoptotic cell death pathway, regulatory pathway",,
Apoptosis modulation by HSP70,WP384,Homo sapiens,23 Apr 2023,,"apoptotic cell death pathway, regulatory pathway",,
Apoptosis modulation by HSP70,WP487,Rattus norvegicus,16 May 2021,,"apoptotic cell death pathway, regulatory pathway",,
Apoptosis modulation by HSP70,WP963,Pan troglodytes,16 May 2021,,"apoptotic cell death pathway, regulatory pathway",,
Apoptosis-related network due to altered Notch3 in ovarian cancer,WP2864,Homo sapiens,29 Nov 2019,ExRNA,"apoptotic cell death pathway, cancer pathway, regulatory pathway, disease pathway","reproductive organ cancer, disease of cellular proliferation",
Apoptosis-related network due to altered Notch3 in ovarian cancer,WP3126,Bos taurus,29 Nov 2019,,"apoptotic cell death pathway, cancer pathway, regulatory pathway, disease pathway","reproductive organ cancer, disease of cellular proliferation",
Arachidonate epoxygenase / epoxide hydrolase,WP1000,Bos taurus,28 Jul 2022,,"arachidonic acid metabolic pathway, metabolic pathway of secondary metabolites, classic metabolic pathway",,
Arachidonate epoxygenase / epoxide hydrolase,WP1250,Mus musculus,23 May 2021,,"arachidonic acid metabolic pathway, classic metabolic pathway",,
Arachidonate epoxygenase / epoxide hydrolase,WP678,Homo sapiens,18 Apr 2023,,"metabolic pathway of secondary metabolites, arachidonic acid metabolic pathway, classic metabolic pathway",,
"Arachidonic acid (AA, ARA) oxylipin metabolism",WP5155,Homo sapiens,10 Dec 2022,,"eicosanoid metabolic pathway, classic metabolic pathway",,
Arginine biosynthesis,WP275,Saccharomyces cerevisiae,02 Dec 2021,,"arginine biosynthetic pathway, classic metabolic pathway",,
Arginine degradation,WP54,Saccharomyces cerevisiae,23 Sep 2016,,"arginine degradation pathway, classic metabolic pathway",,
Aripiprazole metabolic pathway,WP2640,Homo sapiens,22 May 2021,,"xenobiotic metabolic pathway, phase I biotransformation pathway via cytochrome P450, classic metabolic pathway, regulatory pathway",,
Arrhythmogenic right ventricular cardiomyopathy,WP2118,Homo sapiens,22 Jun 2021,,"arrhythmogenic right ventricular cardiomyopathy pathway, disease pathway","arrhythmogenic right ventricular cardiomyopathy, cardiovascular system disease",
Arrhythmogenic right ventricular cardiomyopathy,WP3195,Bos taurus,21 May 2021,,"arrhythmogenic right ventricular cardiomyopathy pathway, disease pathway",,
Arsenic metabolism and reactive oxygen species generation,WP5233,Homo sapiens,10 Dec 2022,,,"cancer, disease of cellular proliferation",
Aryl hydrocarbon receptor,WP3226,Bos taurus,21 May 2021,,"regulatory pathway, signaling pathway","functioning pituitary adenoma, disease of cellular proliferation",
Aryl hydrocarbon receptor pathway,WP2586,Homo sapiens,05 May 2023,,regulatory pathway,,
Aryl hydrocarbon receptor pathway,WP2873,Homo sapiens,22 Dec 2021,,"regulatory pathway, aryl hydrocarbon receptor signaling pathway",,
Aryl hydrocarbon receptor pathway,WP3205,Bos taurus,23 May 2021,,signaling pathway,,
Arylamine metabolism,WP1211,Equus caballus,16 Aug 2019,,"arylamine metabolic pathway, classic metabolic pathway",,
Arylamine metabolism,WP694,Homo sapiens,16 Aug 2019,,"metabolic pathway of secondary metabolites, arylamine metabolic pathway, classic metabolic pathway",,
Arylamine metabolism,WP993,Bos taurus,16 Aug 2019,,"arylamine metabolic pathway, metabolic pathway of secondary metabolites, classic metabolic pathway",,
Arylhydrocarbon receptor (AhR) signaling pathway,WP3209,Bos taurus,30 Jun 2015,,"aryl hydrocarbon receptor signaling pathway, regulatory pathway",,
Ascaroside biosynthesis,WP2224,Caenorhabditis elegans,24 May 2021,,"ascaroside biosynthetic pathway, lipid metabolic pathway, classic metabolic pathway",,
Ascorbate and aldarate metabolism,WP1622,Mycobacterium tuberculosis,15 Dec 2017,,"ascorbate and aldarate metabolic pathway, glucose conversion pathway, classic metabolic pathway, regulatory pathway",,
Asparagine biosynthesis,WP67,Saccharomyces cerevisiae,20 May 2021,,"asparagine metabolic pathway, classic metabolic pathway",,
Asparagine degradation,WP432,Saccharomyces cerevisiae,16 Sep 2016,,"asparagine metabolic pathway, classic metabolic pathway",,
Aspartate biosynthesis,WP1518,Saccharomyces cerevisiae,20 May 2021,,"alanine, aspartate and glutamate metabolic pathway, classic metabolic pathway",,
Aspirin and miRNAs,WP4707,Homo sapiens,08 May 2021,,"acetylsalicylic acid drug pathway, drug pathway",,
AtMetExpress overview,WP3622,Arabidopsis thaliana,16 Aug 2019,,classic metabolic pathway,,
Autophagy,WP4923,Homo sapiens,09 May 2020,,"autophagy pathway, cell death pathway, regulatory pathway",,
Autophagy in pancreatic ductal adenocarcinoma,WP5331,Homo sapiens,13 Apr 2023,"CPTAC, Diseases","pancreatic cancer pathway, autophagy pathway, disease pathway, regulatory pathway",,
Autosomal recessive osteopetrosis pathways,WP4788,Homo sapiens,22 May 2021,SkeletalDysplasia,signaling pathway,"autosomal recessive osteopetrosis 1, autosomal recessive osteopetrosis 2, autosomal recessive osteopetrosis 3, autosomal recessive osteopetrosis 4, autosomal recessive osteopetrosis 5, autosomal recessive osteopetrosis 6, autosomal recessive osteopetrosis 7, autosomal recessive osteopetrosis 8, genetic disease",
B cell receptor signaling pathway,WP1025,Bos taurus,21 May 2021,,"signaling pathway pertinent to immunity, B cell receptor signaling pathway, signaling pathway",,"B cell, native cell"
B cell receptor signaling pathway,WP23,Homo sapiens,20 Apr 2023,,"signaling pathway pertinent to immunity, B cell receptor signaling pathway, signaling pathway",,"B cell, native cell"
BDNF pathway,WP2152,Mus musculus,17 Dec 2021,,"brain-derived neurotrophic factor signaling pathway, signaling pathway",,
BDNF signaling pathway,WP3141,Bos taurus,16 Aug 2019,,"brain-derived neurotrophic factor signaling pathway, signaling pathway",,
BDNF-TrkB signaling,WP3676,Homo sapiens,14 May 2021,,"brain-derived neurotrophic factor signaling pathway, signaling pathway",,"neuron, animal cell"
BMP signaling in eyelid development,WP3927,Homo sapiens,22 May 2021,,"signaling pathway pertinent to development, signaling pathway",,
BMP signaling pathway,WP211,Danio rerio,28 May 2021,,"Bone morphogenetic proteins signaling pathway, signaling pathway",,
BMP signaling pathway in eyelid development,WP3663,Mus musculus,23 May 2021,,"signaling pathway pertinent to development, signaling pathway",,
BMP2-WNT4-FOXO1 pathway in primary endometrial stromal cell differentiation,WP3876,Homo sapiens,07 May 2021,,"Wnt signaling pathway, signaling pathway",,"stromal cell, animal cell"
Bacterial ceramide synthesis,WP5271,Caulobacter vibrioides,18 Mar 2023,Lipids,"sphingolipid biosynthetic pathway, lipid metabolic pathway, classic metabolic pathway",,
